alpha_p,alpha_n,initial_alpha
0.9,0.9,0.9
0.9676590631124471,0.832340936887553,0.9
1.0349352064162436,0.7650647935837566,0.9
1.1014476772563035,0.6985523227436965,0.9
1.1668200450195605,0.6331799549804397,0.9
1.2306823315626074,0.5693176684373926,0.9
1.292673105121271,0.5073268948787291,0.9
1.352441525851527,0.447558474148473,0.9
1.409649331424922,0.39035066857507805,0.9
1.4639727514409244,0.3360272485590756,0.9
1.5151043398214945,0.28489566017850565,0.9
1.5627547148173435,0.23724528518265642,0.9
1.6066541967782344,0.19334580322176576,0.9
1.6465543344182776,0.15344566558172235,0.9
1.682229310938254,0.11777068906174604,0.9
1.7134772220469383,0.08652277795306174,0.9
1.7401212186484067,0.05987878135159319,0.9
1.7620105077282289,0.037989492271771286,0.9
1.7790212057739758,0.020978794226024222,0.9
1.7910570399000796,0.008942960099920572,0.9
1.7980498927089807,0.0019501072910194095,0.9
1.7999601878049043,3.9812195095745295e-05,0.9
1.7967771137784254,0.003222886221574517,0.9
1.7885186853941757,0.011481314605824355,0.9
1.7752316416353922,0.024768358364608,0.9
1.756991181182334,0.04300881881766605,0.9
1.7339005368216391,0.0660994631783609,0.9
1.7060903911952696,0.09390960880473054,0.9
1.6737181371956469,0.12628186280435327,0.9
1.6369669871928054,0.16303301280719473,0.9
1.5960449361349371,0.2039550638650629,0.9
1.5511835843907116,0.24881641560928847,0.9
1.5026368269955528,0.29736317300444715,0.9
1.4506794167201504,0.3493205832798496,0.9
1.395605409093585,0.40439459090641516,0.9
1.3377264981815422,0.4622735018184578,0.9
1.2773702525383563,0.5226297474616437,0.9
1.2148782613166018,0.5851217386833982,0.9
1.1506042010264173,0.6493957989735829,0.9
1.084911833885831,0.715088166114169,0.9
1.0181729490905276,0.7818270509094724,0.9
0.9507652586545332,0.8492347413454668,0.9
0.9000000000000001,0.8999999999999999,0.9
0.9000000000000001,0.8999999999999999,0.9
0.9000000000000001,0.8999999999999999,0.9
0.862087767345148,0.937912232654852,0.9
0.7970585328249531,1.002941467175047,0.9
0.7336306195097231,1.066369380490277,0.9
0.6721630008069001,1.1278369991931,0.9
0.6130035557397688,1.1869964442602312,0.9
0.5564871001089461,1.243512899891054,0.9
0.5029334915858252,1.2970665084141748,0.9
0.45264581946228916,1.347354180537711,0.9
0.40590868930189744,1.3940913106981025,0.9
0.362986612200646,1.437013387799354,0.9
0.32412250777335694,1.475877492226643,0.9
0.28953632933812334,1.5104636706618768,0.9
0.25942381907964585,1.5405761809203542,0.9
0.2339554002366705,1.5660445997633294,0.9
0.21327521258325532,1.5867247874167447,0.9
0.19750029666260027,1.6024997033373998,0.9
0.18671993139031495,1.613280068609685,0.9
0.1809951287759861,1.619004871224014,0.9
0.1803582886226971,1.619641711377303,0.9
0.18481301515874216,1.6151869848412579,0.9
0.19433409663931855,1.6056659033606815,0.9
0.20886764803364166,1.5911323519663583,0.9
0.22833141598993678,1.5716685840100633,0.9
0.2526152443523453,1.5473847556476548,0.9
0.28158169759512874,1.5184183024048714,0.9
0.31506683864581253,1.4849331613541876,0.9
0.35288115669514364,1.4471188433048563,0.9
0.39481063974287156,1.4051893602571286,0.9
0.44061798580923484,1.359382014190765,0.9
0.4900439459572291,1.3099560540427708,0.9
0.5428087915247717,1.2571912084752284,0.9
0.5986138972628756,1.2013861027371244,0.9
0.6571434314199909,1.1428565685800092,0.9
0.7180661432074013,1.081933856792599,0.9
0.7810372375294159,1.0189627624705841,0.9
0.8457003263682434,0.9542996736317566,0.9
0.9,0.9,0.9
0.9,0.9,0.9
0.9,0.9,0.9
0.9338534894705756,0.8661465105294245,0.9
1.0013688729164039,0.7986311270835961,0.9
1.068310554220424,0.731689445779576,0.9
1.1342996736317548,0.6657003263682453,0.9
1.198962762470583,0.6010372375294171,0.9
1.2619338567925977,0.5380661432074023,0.9
1.322856568580008,0.477143431419992,0.9
1.3813861027371233,0.4186138972628768,0.9
1.4371912084752267,0.3628087915247734,0.9
1.4899560540427699,0.31004394595723017,0.9
1.5393820141907644,0.2606179858092358,0.9
1.5851893602571276,0.2148106397428724,0.9
1.6271188433048556,0.17288115669514437,0.9
1.6649331613541865,0.1350668386458136,0.9
1.6984183024048707,0.10158169759512936,0.9
1.7273847556476543,0.07261524435234579,0.9
1.7516685840100628,0.04833141598993729,0.9
1.771132351966358,0.028867648033642057,0.9
1.7856659033606812,0.01433409663931895,0.9
1.7951869848412576,0.00481301515874244,0.9
1.799641711377303,0.000358288622697045,0.9
1.7990048712240139,0.000995128775986287,0.9
1.7932800686096853,0.006719931390314682,0.9
1.7824997033374002,0.01750029666259989,0.9
1.7667247874167453,0.03327521258325472,0.9
1.7460445997633296,0.05395540023667045,0.9
1.7205761809203546,0.07942381907964535,0.9
1.690463670661877,0.10953632933812296,0.9
1.6558774922266437,0.14412250777335645,0.9
1.617013387799355,0.18298661220064494,0.9
1.5740913106981034,0.22590868930189656,0.9
1.5273541805377115,0.2726458194622885,0.9
1.477066508414175,0.32293349158582496,0.9
1.4235128998910551,0.3764871001089449,0.9
1.3669964442602323,0.43300355573976784,0.9
1.3078369991931005,0.4921630008068995,0.9
1.2463693804902787,0.5536306195097214,0.9
1.1829414671750484,0.6170585328249516,0.9
1.1179122326548527,0.6820877673451473,0.9
1.0516497130935667,0.7483502869064332,0.9
0.9845289244926498,0.8154710755073502,0.9
0.916929740269577,0.8830702597304231,0.9
0.8999999999999997,0.9000000000000004,0.9
0.8999999999999997,0.9000000000000004,0.9
0.8950881661141701,0.90491183388583,0.9
0.8293957989735836,0.9706042010264164,0.9
0.7651217386834002,1.0348782613165999,0.9
0.7026297474616451,1.0973702525383549,0.9
0.6422735018184588,1.1577264981815412,0.9
0.5843945909064153,1.2156054090935848,0.9
0.5293205832798509,1.2706794167201492,0.9
0.4773631730044479,1.3226368269955522,0.9
0.4288164156092888,1.3711835843907112,0.9
0.38395506386506395,1.416044936134936,0.9
0.3430330128071952,1.4569669871928048,0.9
0.30628186280435354,1.4937181371956465,0.9
0.27390960880473136,1.5260903911952686,0.9
0.24609946317836162,1.5539005368216383,0.9
0.22300881881766643,1.5769911811823336,0.9
0.20476835836460794,1.595231641635392,0.9
0.19148131460582452,1.6085186853941755,0.9
0.18322288622157468,1.6167771137784253,0.9
0.18003981219509568,1.6199601878049044,0.9
0.18195010729101913,1.618049892708981,0.9
0.1889429600999203,1.6110570399000799,0.9
0.20097879422602405,1.599021205773976,0.9
0.21798949227177034,1.5820105077282296,0.9
0.23987878135159224,1.560121218648408,0.9
0.266522777953061,1.533477222046939,0.9
0.2977706890617454,1.5022293109382545,0.9
0.33344566558172095,1.4665543344182792,0.9
0.37334580322176447,1.4266541967782356,0.9
0.4172452851826554,1.3827547148173447,0.9
0.46489566017850376,1.3351043398214963,0.9
0.5160272485590739,1.2839727514409263,0.9
0.5703506685750768,1.2296493314249233,0.9
0.6275584741484708,1.1724415258515293,0.9
0.6873268948787272,1.1126731051212728,0.9
0.7493176684373912,1.0506823315626088,0.9
0.8131799549804386,0.9868200450195614,0.9
0.8785523227436943,0.9214476772563057,0.9
0.8999999999999996,0.9000000000000005,0.9
0.8999999999999996,0.9000000000000005,0.9
0.8999999999999996,0.9000000000000005,0.9
